Latitude,Longitude,Height (m),Data Rate (kbpms)
48.18196,11.614108,25.7,0
48.181958,11.614106,25.7,91.704
48.181956,11.614104,25.7,0
48.181954,11.614102,25.7,0
48.181952,11.6141,25.7,0
48.18195,11.614097,25.7,0
48.181948,11.614095,25.7,77.728
48.181946,11.614093,25.7,0
48.181944,11.614091,25.7,0
48.181942,11.614089,25.7,59.672
48.18194,11.614087,25.7,0
48.181938,11.614085,25.7,0
48.181936,11.614082,25.7,0
48.181934,11.61408,25.7,0
48.181932,11.614078,25.7,109.664
48.18193,11.614076,25.7,0
48.181928,11.614073,25.7,138.264
48.181926,11.614071,25.7,116.328
48.181924,11.614069,25.7,60.56
48.181922,11.614067,25.7,0
48.18192,11.614065,25.7,142.72
48.181917,11.614062,25.7,12.112
48.181915,11.61406,25.7,0
48.181913,11.614058,25.7,0
48.181911,11.614056,25.7,12.112
48.18191,11.614054,25.7,0
48.181907,11.614051,25.7,12.112
48.181906,11.61405,25.7,0
48.181903,11.614047,25.7,0.624
48.181902,11.614045,25.7,47.224
48.181899,11.614043,25.7,0
48.181897,11.614041,25.7,0
48.181895,11.614039,25.7,0.672
48.181893,11.614037,25.7,0.632
48.181891,11.614035,25.7,24.224
48.181889,11.614033,25.7,0
48.181887,11.614031,25.7,0
48.181885,11.614029,25.7,0.632
48.181883,11.614027,25.7,7.8
48.181881,11.614025,25.7,108.568
48.181879,11.614023,25.7,0
48.181877,11.614021,25.7,79.376
48.181875,11.614019,25.7,0
48.181873,11.614017,25.7,0
48.181871,11.614015,25.7,20.72
48.181869,11.614013,25.7,5.096
48.181867,11.614011,25.7,0
48.181865,11.614009,25.7,0
48.181863,11.614008,25.7,8.624
48.181861,11.614006,25.7,0
48.181859,11.614004,25.7,0
48.181856,11.614002,25.7,36.336
48.181854,11.614,25.7,9.68
48.181852,11.613998,25.7,4.568
48.18185,11.613996,25.7,72
48.181848,11.613995,25.7,5.288
48.181846,11.613993,25.7,17.488
48.181844,11.613991,25.7,4.384
48.181842,11.613989,25.7,25.752
48.18184,11.613987,25.7,57.944
48.181838,11.613985,25.7,3.984
48.181836,11.613984,25.8,5.392
48.181834,11.613982,25.7,0
48.181832,11.61398,25.7,4.376
48.18183,11.613978,25.8,77.928
48.181828,11.613976,25.8,46.624
48.181826,11.613975,25.8,0
48.181824,11.613973,25.8,54.36
48.181822,11.613971,25.8,0
48.181819,11.613969,25.8,60.56
48.181817,11.613968,25.7,0
48.181815,11.613966,25.7,0
48.181813,11.613964,25.7,116.688
48.181811,11.613962,25.7,0
48.181809,11.61396,25.7,0
48.181807,11.613959,25.7,0.728
48.181804,11.613957,25.7,0
48.181802,11.613955,25.7,23.568
48.1818,11.613954,25.7,0
48.181798,11.613951,25.6,37.032
48.181796,11.61395,25.7,18.232
48.181794,11.613948,25.6,0
48.181792,11.613946,25.6,21.488
48.18179,11.613945,25.6,0
48.181788,11.613943,25.6,22.88
48.181786,11.613942,25.6,0
48.181785,11.613941,25.6,0
48.181784,11.613941,25.6,0
48.181783,11.61394,25.6,0
48.181783,11.61394,25.7,53.968
48.181783,11.61394,25.6,0
48.181783,11.613939,25.6,36.336
48.181783,11.613939,25.7,24.224
48.181783,11.613939,25.7,0
48.181783,11.613939,25.7,45.976
48.181783,11.613939,25.6,0
48.181783,11.613939,25.6,1.752
48.181783,11.613939,25.6,0
48.181783,11.613939,25.6,106.464
48.181783,11.613939,25.6,0
48.181784,11.613939,25.6,0
48.181784,11.613939,25.6,0
48.181784,11.613939,25.6,0
48.181784,11.613939,25.6,0.928
48.181784,11.613939,25.6,0
48.181784,11.613939,25.6,25.928
48.181784,11.613939,25.6,0
48.181784,11.613939,25.6,0
48.181784,11.613939,25.7,1.24
48.181784,11.613939,25.8,0
48.181784,11.613939,26,0
48.181784,11.613939,26.2,0
48.181784,11.613939,26.3,16.488
48.181784,11.613939,26.6,0
48.181784,11.613939,26.7,45.36
48.181784,11.613939,26.9,0
48.181784,11.613939,27.1,0
48.181784,11.613939,27.3,0
48.181784,11.61394,27.5,0
48.181784,11.61394,27.7,32.304
48.181784,11.61394,27.8,0
48.181784,11.61394,28,0
48.181784,11.61394,28.2,0
48.181784,11.61394,28.4,0
48.181784,11.61394,28.6,31.16
48.181784,11.613941,28.8,0
48.181784,11.613941,29,0
48.181784,11.613941,29.2,24.224
48.181784,11.613941,29.4,0
48.181784,11.613941,29.5,36.336
48.181784,11.613941,29.8,12.112
48.181784,11.613941,29.9,0
48.181784,11.613941,30.1,36.336
